codigo_dist,mun,prov,pob,renta_med,pobreza_pc,pobreza_menores_pc,pobreza_mayores_pc,precio_alquiler,jubilados_pc,parados_pc,monoparental_pc,extranjeros_pc,estudios_sup_pc,menores_pc,mayores_pc
0300101,"Atzúbia, l'",Alicante,625,16450,29.7,NA,NA,NA,24.05,11.9,NA,44.16,26.82,7.52,34.72
0300201,Agost,Alicante,4909,14350,23.9,32.3,19.2,2.88659793814433,19.22287476201635,20.245980605356884,10.129310344827584,9.778600529639435,21.489039122684584,15.44268486453453,20.205834182114483
0300301,Agres,Alicante,582,17150,12.7,NA,NA,NA,22.46,11.64,NA,8.76,30.86,12.03,25.6
0300401,Aigües,Alicante,1045,15750,24.6,NA,NA,NA,16.8,17.349999999999998,NA,28.799999999999997,40.489999999999995,13.97,18.95
0300501,Albatera,Alicante,5313,12950,30.8,45,15.1,3.03389997731187,14.860119703847287,18.58287051127632,11.549295774647888,19.63147562582345,19.768226252215644,17.919629211368342,17.466186711838887
0300502,Albatera,Alicante,7391,12950,31.8,42,21.6,2.95389382167962,12.248256015631894,20.091472473601343,9.92018244013683,23.44914219997294,18.868932226164485,20.11872141794074,13.557388716005956
0300601,Alcalalí,Alicante,1321,13650,28.8,NA,NA,NA,28.94,16.32,7.547169811320755,58.209999999999994,26.590000000000003,6.890000000000001,41.18
0300701,Alcocer de Planes,Alicante,245,17850,NA,NA,NA,NA,21.33,13.01,NA,16.73,31.109999999999996,8.16,24.08
0300801,Alcoleja,Alicante,186,16450,NA,NA,NA,NA,37.28,14.29,NA,7.530000000000001,25.44,9.14,36.02
0300901,Alcoy/Alcoi,Alicante,4573,15750,27.3,31.4,18.7,4.40687267814927,16.615040694143314,23.7097219866402,12.98076923076923,14.016317515853926,35.06879728318298,15.636695823310736,18.193988628908812
0300902,Alcoy/Alcoi,Alicante,7420,15750,20.7,23.2,18.4,3.88882229946595,18.20717659956983,18.77903594244253,10.62874251497006,7.089423180592991,29.39040854422275,16.279877358490566,18.94635849056603
0300903,Alcoy/Alcoi,Alicante,7027,15050,19.2,24.2,19,3.47675042955326,21.48719604231225,19.345083883609163,10.378912685337726,5.0952426355485985,23.676557507911287,14.828359185996868,21.57643090934965
0300904,Alcoy/Alcoi,Alicante,8891,15750,20.6,31.1,14.4,3.5351816674363,24.706544433426988,19.93378533299669,11.073825503355703,10.066238893262849,26.153511887859302,12.775142278708808,26.74502193229108
0300905,Alcoy/Alcoi,Alicante,7437,16450,19.6,26.3,15.2,3.78453261831048,18.037229335915317,18.61160948885887,12.468827930174564,8.861097216619605,30.307225742838774,14.72492671776254,18.678546456904662
0300906,Alcoy/Alcoi,Alicante,5472,17150,19.1,23.8,15,3.70618034447822,19.348843915490363,18.16369406287204,12.07729468599034,12.246028874269006,32.5409346950836,13.00938048245614,21.161145833333336
0300907,Alcoy/Alcoi,Alicante,7470,15050,23.1,34.6,19.2,3.46377551020408,23.06498526635654,22.06032989528102,12.520593080724876,8.58104953145917,20.689161921649703,13.816232931726908,24.845779116465863
0300908,Alcoy/Alcoi,Alicante,10897,16450,17.9,24,13.4,3.81818181818182,19.431365929637636,18.548215326150483,10.33457249070632,8.378793245847481,26.477900428982032,14.986806460493716,19.702369459484263
0301001,Alfafara,Alicante,408,16450,NA,NA,NA,NA,21.61,14.14,NA,6.370000000000001,29.360000000000007,11.52,25.25
0301101,"Alfàs del Pi, l'",Alicante,19615,13650,32.4,39.1,26.1,7.04641007100294,16.64710061634104,21.848330361296597,8.927826449728828,51.09433035941881,28.240504657778104,13.14905378536834,25.073267907213868
0301201,Algorfa,Alicante,3459,12950,35.1,45,19.6,5.03968253968254,25.3,20.06,5.950095969289827,58.77,9.05,12.14,32.61
0301301,Algueña,Alicante,1339,13650,27.1,NA,NA,NA,21.13,24.91,11.538461538461538,7.62,14.96,15.160000000000002,25.84
0301401,Alicante/Alacant,Alicante,21083,22050,19,27.2,11.2,6.40287769784173,24.760791229652995,16.46264917783605,10.917615539182853,21.39716596309823,52.19858069295175,8.931451880662145,31.731824692880515
0301402,Alicante/Alacant,Alicante,34689,13650,33.5,47.7,18.9,5.40540540540541,18.235895678166912,24.84381058585776,12.977728897442947,30.68721756176309,34.06725936890005,12.061285710167487,23.237531494133588
0301403,Alicante/Alacant,Alicante,50939,13650,33.5,44.1,22.1,5.50847457627119,15.3017897666843,25.092205431993623,13.17141522652966,26.81039969375135,26.585170071122697,15.669612673982607,18.508599305051145
0301404,Alicante/Alacant,Alicante,78640,17150,28.5,36.7,19.9,7.35765174295579,14.10040180069965,21.73723263572613,13.062123319425128,21.552276703967447,40.04976036680766,18.556675864699898,16.018801119023397
0301405,Alicante/Alacant,Alicante,32837,12250,38.5,54.3,23.9,4.66158955565735,14.896453410578223,28.81232580073203,12.628111273792094,26.134303072753298,20.08595728009287,16.718716387002466,17.89093735724944
0301406,Alicante/Alacant,Alicante,51314,17150,21.1,25.9,17.1,5.4189247311828,13.999358874324065,18.788386737538843,13.091684434968018,14.821955606657053,34.22934184503444,16.05637233503527,15.989507931558638
0301407,Alicante/Alacant,Alicante,29793,14350,28.2,43.1,17.2,5.13392857142857,17.99875266995527,24.542743183830627,12.724879333040809,17.122432450575637,22.78001565206388,13.186312892290136,22.21773067499077
0301408,Alicante/Alacant,Alicante,39473,17150,20.6,27.3,13.7,5.61224489795918,17.94811481575843,19.655430811042542,12.245483223401203,14.12412737820789,34.41258625441846,14.48762495883262,20.357355660831455
0301501,Almoradí,Alicante,18243,11550,39.1,51,26.9,3.37078651685393,12.398336190084684,24.074889151360416,10.915320606950562,22.654849531327088,21.1085048410291,20.06602477662665,14.712745162528092
0301502,Almoradí,Alicante,3060,10850,42.1,55.7,30.3,3.92156862745098,14.58783119060928,27.66313988574196,10.545454545454543,25.55777777777778,13.51343767467859,18.008055555555554,18.270833333333332
0301601,Almudaina,Alicante,118,16100,NA,NA,NA,NA,33.33,15.22,NA,17.8,29.630000000000003,8.469999999999999,37.29
0301701,"Alqueria d'Asnar, l'",Alicante,498,16450,NA,NA,NA,NA,14.519999999999998,8.99,NA,5.62,25.58,12.85,14.26
0301801,Altea,Alicante,6931,13650,30.2,40.6,19.6,5.8252427184466,17.173491382655186,22.39113092285428,11.063829787234043,34.75803058721685,29.432750118827055,13.040220747366902,22.522409464723705
0301802,Altea,Alicante,5426,13650,30.5,43.9,22.1,5.55555555555556,12.111364108180585,23.70463377843201,10.652920962199312,26.373326575746407,25.326632380978857,13.546693697014376,15.997093623295244
0301803,Altea,Alicante,10453,15050,26.7,32.4,21.9,6.57894736842105,15.40748954087363,18.347885809726783,8.18452380952381,43.52880512771453,35.202780591476554,13.93697598775471,22.71915813642017
0301901,Aspe,Alicante,3760,12250,32.9,41.6,26.8,3.27912578555855,22.307081671034396,25.80588345396705,NA,6.623595744680851,21.775234308119337,14.869071808510638,25.71727659574468
0301902,Aspe,Alicante,4731,14350,23.3,26.8,21.4,3.38981481481481,17.334067521869063,21.034406753077015,12.182741116751268,8.305827520608752,28.821717793653917,15.008078630310717,19.382257450856056
0301903,Aspe,Alicante,6216,12250,32.6,36.3,34.2,3.63636363636364,13.396541821238271,24.720464876212606,NA,5.6321396396396395,18.81884810351338,20.140194658944655,14.463986486486489
0301904,Aspe,Alicante,6358,14350,25.3,29.3,23.7,3.85174418604651,11.817782151195646,20.151570428789203,6.912442396313364,13.980125825731362,25.071062656577304,19.07797263290343,13.635887071406104
0302001,Balones,Alicante,134,15050,NA,NA,NA,NA,32,20.31,NA,13.43,29.59999999999999,6.72,31.340000000000003
0302101,Banyeres de Mariola,Alicante,3384,15750,14.6,21.4,13,2.61586239847109,21.4057311446994,12.682408128107136,10.614525139664805,8.186619385342789,23.94605345446002,15.10385342789598,22.162748226950352
0302102,Banyeres de Mariola,Alicante,3719,16450,13.7,17.2,15.1,2.47933884297521,19.144642199904723,11.728323470408744,11.052631578947368,4.920271578381285,23.86047958564147,15.595552567894597,20.51584296853993
0302201,Benasau,Alicante,167,19250,NA,NA,NA,NA,38.41,11.59,NA,5.390000000000001,33.11,9.58,38.32
0302301,Beneixama,Alicante,1719,16450,17.5,NA,NA,NA,23.51,9.25,9.913793103448276,6.75,28.59,14.14,24.199999999999996
0302401,Benejúzar,Alicante,5487,13650,30.8,43.8,20.5,3.31311925230463,17.189893709566373,22.420584739829874,9.887005649717514,13.576673956624749,19.27297377627376,15.928175687989793,19.264297430289776
0302501,Benferri,Alicante,1934,14350,25.5,NA,NA,4.84188988095238,14.96,18.96,7.968127490039841,16.34,20.62,17.740000000000002,17.22
0302601,Beniarbeig,Alicante,2237,14350,23.4,NA,NA,5.15147428982381,15.260000000000003,15.38,10.56105610561056,28.88,23.98,14.44,20.380000000000003
0302701,Beniardá,Alicante,197,16450,NA,NA,NA,NA,30.64,11.9,NA,14.72,27.750000000000004,12.18,31.979999999999997
0302801,Beniarrés,Alicante,1088,14350,20.9,NA,NA,NA,26.56,14.46,NA,6.890000000000001,20.119999999999997,7.26,30.15
0302901,Benigembla,Alicante,477,13650,35.2,NA,NA,NA,31.05,10.74,NA,48.85,18.26,8.18,37.53
0303001,Benidoleig,Alicante,1153,14350,28.1,NA,NA,3.8510781671159,24.56,13.26,7.60233918128655,45.1,22.43999999999999,10.32,30.530000000000005
0303101,Benidorm,Alicante,17067,12950,32.6,48.4,18.7,6.25218391088585,19.638918604840686,29.12663630972682,10.514285714285714,28.11825335442667,18.63047701336827,11.74737036386008,23.67221831604851
0303102,Benidorm,Alicante,19417,11550,40.9,55.2,21.6,7.79220779220779,18.981566429018397,31.3874875968433,8.72624912033779,50.282214554256576,17.83437356204205,11.47338517793686,25.10315754235979
0303103,Benidorm,Alicante,22008,13650,29.7,41.5,18.2,6.45415380658436,14.888118688634892,26.95999635481316,11.308097747963584,24.096424027626316,17.049960460420607,14.21713967648128,17.198905398037077
0303104,Benidorm,Alicante,10382,14350,26.4,37,19.6,7.5,17.166231967022192,23.677506636473098,9.839228295819936,28.78063667886727,26.445683438076692,14.593797919476016,20.479250626083605
0303201,Benifallim,Alicante,102,23450,NA,NA,NA,NA,27.839999999999996,10.91,NA,0.98,43.3,4.9,27.45
0303301,Benifato,Alicante,133,13650,NA,NA,NA,NA,27.639999999999997,19.3,NA,18.05,21.95,7.52,29.32
0303401,Benijófar,Alicante,3303,13650,30,34.9,22.2,4.32835820895522,23.47,18.45,7.659574468085107,48.71,11.24,11.66,30.79
0303501,Benilloba,Alicante,739,15750,19.7,NA,NA,NA,31.24,19.69,NA,6.77,27.65,9.47,32.879999999999995
0303601,Benillup,Alicante,102,21350,NA,NA,NA,NA,26.14,8.93,NA,2.94,34.089999999999996,13.73,18.63
0303701,Benimantell,Alicante,496,14350,NA,NA,NA,5.73770491803279,24.83,17.24,NA,25.2,31.209999999999997,11.49,24.4
0303801,Benimarfull,Alicante,398,17150,NA,NA,NA,NA,28.770000000000003,10,NA,9.8,27.950000000000003,8.290000000000001,29.65
0303901,Benimassot,Alicante,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0304001,Benimeli,Alicante,411,14350,NA,NA,NA,NA,24.93,16.86,NA,30.9,30.409999999999997,11.19,34.55
0304101,Benissa,Alicante,7333,14350,26,34.9,19.1,3.68421052631579,14.369128860146612,19.17118172291419,11.601307189542483,24.4799809082231,20.500742891844776,15.7254138824492,18.846819855447972
0304102,Benissa,Alicante,4184,14350,29.7,36.2,21.1,NA,21.74,16.1,6.605222734254992,62,19.61,9.08,34.92
0304201,"Benitachell/Poble Nou de Benitatxell, el",Alicante,4481,13650,33,48.3,20.3,4.60526315789474,21.54,14.82,7.726597325408618,60.52,12.86,12.05,32.36
0304301,Biar,Alicante,3632,16450,13.4,17.9,15,3.36439989186608,20.245638181948532,13.975705445516173,8.625336927223719,4.9826982378854625,28.403587804563045,15.28165473568282,21.641957599118943
0304401,Bigastro,Alicante,6972,13650,28.3,39.6,14,2.85912117773531,15.790050458285776,22.7935708552911,10.37735849056604,18.029107860011475,21.011986015397337,17.616549053356284,15.687621916236372
0304501,Bolulla,Alicante,424,11550,NA,NA,NA,NA,20.51,19.02,NA,42.69,23.85,8.02,29.01
0304601,Busot,Alicante,3191,14350,26.4,33.3,18.7,NA,17.14,18.52,8.505747126436782,35.57,29.08,13.35,23.06
0304701,Calp,Alicante,12507,12250,35.1,48.5,23.3,5.42168674698795,12.835612624690974,27.07344194209669,10.647571606475717,41.578305748780686,14.242238010793448,15.781513552410653,16.500892300311826
