codigo_mun,mun,prov,pob,renta_med,pobreza_pc,pobreza_menores_pc,pobreza_mayores_pc,precio_alquiler,jubilados_pc,parados_pc,monoparental_pc,extranjeros_pc,estudios_sup_pc,menores_pc,mayores_pc
03001,"Atzúbia, l'",Alicante,625,16450,29.7,NA,NA,NA,24.05,11.9,NA,44.16,26.82,7.52,34.72
03002,Agost,Alicante,4909,14350,23.9,32.3,19.2,2.88659793814433,19.22287476201635,20.245980605356884,10.129310344827584,9.778600529639435,21.489039122684584,15.44268486453453,20.205834182114483
03003,Agres,Alicante,582,17150,12.7,NA,NA,NA,22.46,11.64,NA,8.76,30.86,12.03,25.6
03004,Aigües,Alicante,1045,15750,24.6,NA,NA,NA,16.8,17.349999999999998,NA,28.799999999999997,40.489999999999995,13.97,18.95
03005,Albatera,Alicante,12704,12950,31.4,43.2,18.4,2.99145299145299,13.357916177269038,19.458193633301068,10.398050365556458,21.852537783375315,19.251000692757813,19.199028652392947,15.192105636020152
03006,Alcalalí,Alicante,1321,13650,28.8,NA,NA,NA,28.94,16.32,7.0754716981132075,58.209999999999994,26.590000000000003,6.890000000000001,41.18
03007,Alcocer de Planes,Alicante,245,17850,NA,NA,NA,NA,21.33,13.01,NA,16.73,31.109999999999996,8.16,24.08
03008,Alcoleja,Alicante,186,16450,NA,NA,NA,NA,37.28,14.29,NA,7.530000000000001,25.44,9.14,36.02
03009,Alcoy/Alcoi,Alicante,59187,15750,20.5,27,16.4,3.73784574719154,20.397541359000503,19.660903590348237,11.20280585929441,8.960037508236606,27.422934809182692,14.48461773700306,21.426858769662257
03010,Alfafara,Alicante,408,16450,NA,NA,NA,NA,21.61,14.14,NA,6.370000000000001,29.360000000000007,11.52,25.25
03011,"Alfàs del Pi, l'",Alicante,19615,13650,32.4,39.1,26.1,7.04641007100294,16.64710061634104,21.848330361296597,8.88610763454318,51.09433035941881,28.240504657778104,13.14905378536834,25.073267907213868
03012,Algorfa,Alicante,3459,12950,35.1,45,19.6,5.03968253968254,25.3,20.06,5.758157389635317,58.77,9.05,12.14,32.61
03013,Algueña,Alicante,1339,13650,27.1,NA,NA,NA,21.13,24.91,11.475409836065571,7.62,14.96,15.160000000000002,25.84
03014,Alicante/Alacant,Alicante,338768,15750,28,37.8,18.2,5.83333333333333,16.299399867474612,22.40703069286146,12.802613039579864,21.43823377650782,33.21014775150202,15.355128435979786,19.337971473102535
03015,Almoradí,Alicante,21303,11550,39.5,51.6,27.5,3.40909090909091,12.719766039852717,24.571369025274755,10.87144089732528,23.071831197483924,19.993507411177372,19.770414495610947,15.223835140590529
03016,Almudaina,Alicante,118,16100,NA,NA,NA,NA,33.33,15.22,NA,17.8,29.630000000000003,8.469999999999999,37.29
03017,"Alqueria d'Asnar, l'",Alicante,498,16450,NA,NA,NA,NA,14.519999999999998,8.99,NA,5.62,25.58,12.85,14.26
03018,Altea,Alicante,22810,14350,28.7,37.7,21.1,6.04150751209575,15.16307846590051,21.03306665180046,9.665038381018842,36.78282244629549,31.088628861212772,13.571650153441476,21.060342393686977
03019,Aspe,Alicante,21065,13650,28.4,33,26.6,3.54767723732316,15.487158863112446,22.586801779710747,8.716323296354991,8.929248041775455,23.541712338714063,17.726092095893662,17.3272978874911
03020,Balones,Alicante,134,15050,NA,NA,NA,NA,32,20.31,NA,13.43,29.59999999999999,6.72,31.340000000000003
03021,Banyeres de Mariola,Alicante,7103,16450,14.1,19.2,14,2.54666170265575,20.225170566449943,12.170385659003935,10.840108401084011,6.476419822610164,23.90137359509932,15.361298043080389,21.300458961002395
03022,Benasau,Alicante,167,19250,NA,NA,NA,NA,38.41,11.59,NA,5.390000000000001,33.11,9.58,38.32
03023,Beneixama,Alicante,1719,16450,17.5,NA,NA,NA,23.51,9.25,10.38961038961039,6.75,28.59,14.14,24.199999999999996
03024,Benejúzar,Alicante,5487,13650,30.8,43.8,20.5,3.31311925230463,17.189893709566373,22.420584739829874,9.577464788732394,13.576673956624749,19.27297377627376,15.928175687989793,19.264297430289776
03025,Benferri,Alicante,1934,14350,25.5,NA,NA,4.84188988095238,14.96,18.96,7.569721115537849,16.34,20.62,17.740000000000002,17.22
03026,Beniarbeig,Alicante,2237,14350,23.4,NA,NA,5.15147428982381,15.260000000000003,15.38,10.56105610561056,28.88,23.98,14.44,20.380000000000003
03027,Beniardá,Alicante,197,16450,NA,NA,NA,NA,30.64,11.9,NA,14.72,27.750000000000004,12.18,31.979999999999997
03028,Beniarrés,Alicante,1088,14350,20.9,NA,NA,NA,26.56,14.46,NA,6.890000000000001,20.119999999999997,7.26,30.15
03029,Benigembla,Alicante,477,13650,35.2,NA,NA,NA,31.05,10.74,NA,48.85,18.26,8.18,37.53
03030,Benidoleig,Alicante,1153,14350,28.1,NA,NA,3.8510781671159,24.56,13.26,7.017543859649122,45.1,22.43999999999999,10.32,30.530000000000005
03031,Benidorm,Alicante,68874,13650,32.8,45.6,19.5,7.01754385964912,17.590230211514484,28.08345169550126,9.932065217391305,33.181442343990476,19.060076870537817,12.88838618346546,21.525842117489912
03032,Benifallim,Alicante,102,23450,NA,NA,NA,NA,27.839999999999996,10.91,NA,0.98,43.3,4.9,27.45
03033,Benifato,Alicante,133,13650,NA,NA,NA,NA,27.639999999999997,19.3,NA,18.05,21.95,7.52,29.32
03034,Benijófar,Alicante,3303,13650,30,34.9,22.2,4.32835820895522,23.47,18.45,7.659574468085107,48.71,11.24,11.66,30.79
03035,Benilloba,Alicante,739,15750,19.7,NA,NA,NA,31.24,19.69,NA,6.77,27.65,9.47,32.879999999999995
03036,Benillup,Alicante,102,21350,NA,NA,NA,NA,26.14,8.93,NA,2.94,34.089999999999996,13.73,18.63
03037,Benimantell,Alicante,496,14350,NA,NA,NA,5.73770491803279,24.83,17.24,NA,25.2,31.209999999999997,11.49,24.4
03038,Benimarfull,Alicante,398,17150,NA,NA,NA,NA,28.770000000000003,10,NA,9.8,27.950000000000003,8.290000000000001,29.65
03039,Benimassot,Alicante,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
03040,Benimeli,Alicante,411,14350,NA,NA,NA,NA,24.93,16.86,NA,30.9,30.409999999999997,11.19,34.55
03041,Benissa,Alicante,11517,14350,27.2,35.2,20,3.68421052631579,17.17754995271569,18.35123773310128,9.105304829770388,38.110593036381005,20.161355446582427,13.311207779803768,24.686030216202138
03042,"Benitachell/Poble Nou de Benitatxell, el",Alicante,4481,13650,33,48.3,20.3,4.60526315789474,21.54,14.82,7.589285714285714,60.52,12.86,12.05,32.36
03043,Biar,Alicante,3632,16450,13.4,17.9,15,3.36439989186608,20.245638181948532,13.975705445516173,8.625336927223719,4.9826982378854625,28.403587804563045,15.28165473568282,21.641957599118943
