codigo_secc,mun,prov,pob,renta_med,pobreza_pc,pobreza_menores_pc,pobreza_mayores_pc,precio_alquiler,jubilados_pc,parados_pc,monoparental_pc,extranjeros_pc,estudios_sup_pc,menores_pc,mayores_pc
0300101001,"Atzúbia, l'",Alicante,625,16450,29.7,NA,NA,NA,24.05,11.9,NA,44.16,26.82,7.52,34.72
0300201001,Agost,Alicante,1882,13650,29.9,NA,NA,2.72850013672409,18.360000000000003,26.87,8.906882591093117,13.919999999999998,20.76,15.78,20.24
0300201001,Agost,Alicante,1882,13650,29.9,NA,NA,2.72850013672409,18.360000000000003,26.87,8.906882591093117,13.919999999999998,20.76,15.78,20.24
0300201002,Agost,Alicante,1702,14350,19.8,NA,NA,3.00925925925926,22.770000000000003,17.5,11.981566820276498,7.23,22.22,14.34,23.380000000000003
0300201002,Agost,Alicante,1702,14350,19.8,NA,NA,3.00925925925926,22.770000000000003,17.5,11.52073732718894,7.23,22.22,14.34,23.380000000000003
0300201003,Agost,Alicante,1325,14350,20.6,NA,NA,2.83119658119658,15.79,14.65,NA,7.17,21.57,16.38,16.08
0300301001,Agres,Alicante,582,17150,12.7,NA,NA,NA,22.46,11.64,NA,8.76,30.86,12.03,25.6
0300401001,Aigües,Alicante,1045,15750,24.6,NA,NA,NA,16.8,17.349999999999998,NA,28.799999999999997,40.489999999999995,13.97,18.95
0300501001,Albatera,Alicante,1072,13650,30.1,NA,NA,3,15.56,16.91,NA,18.28,24.01,17.26,20.43
0300501002,Albatera,Alicante,1287,12250,32.6,NA,NA,2.45901639344262,16.49,16.7,NA,23.31,22.99,19.89,18.49
0300501003,Albatera,Alicante,1578,13650,27.2,NA,NA,2.64912280701754,13.02,19.09,11.538461538461538,16.669999999999998,16.85,17.24,15.53
0300501003,Albatera,Alicante,1578,13650,27.2,NA,NA,2.64912280701754,13.02,19.09,10.989010989010987,16.669999999999998,16.85,17.24,15.53
0300501004,Albatera,Alicante,1376,12950,33.3,NA,NA,3.75079744816587,14.95,20.84,11.494252873563218,20.64,16.89,17.37,16.42
0300501004,Albatera,Alicante,1376,12950,33.3,NA,NA,3.75079744816587,14.95,20.84,11.560693641618498,20.64,16.89,17.37,16.42
0300502001,Albatera,Alicante,1881,11550,38.5,NA,NA,2.70833333333333,12.45,19.79,10.476190476190476,29.03,13.77,19.3,13.93
